date,return
2021-05-14,0.0184678
2021-05-17,-0.0007917
2021-05-18,-0.00807654
2021-05-19,-0.00381222
2021-05-20,0.01010501
2021-05-21,0.00026429
2021-05-24,0.00936168
2021-05-25,-0.0060618
2021-05-26,0.0023033
2021-05-27,0.00135411
2021-05-28,0.00380913
2021-06-01,0.00429684
2021-06-02,0.00516729
2021-06-03,-0.00351706
2021-06-04,0.00891219
2021-06-07,-0.00139737
2021-06-08,-0.00103767
2021-06-09,-0.00088551
2021-06-10,0.00462683
2021-06-11,0.00137912
2021-06-14,0.00147748
2021-06-15,0.00196141
2021-06-16,-0.00828438
2021-06-17,-0.00454429
2021-06-18,-0.01952497
2021-06-21,0.01621481
2021-06-22,0.00287682
2021-06-23,-0.00230447
2021-06-24,0.00707354
2021-06-25,0.00311542
2021-06-28,2.317e-05
2021-06-29,-0.00245464
2021-06-30,0.00241166
2021-07-01,0.00535652
2021-07-02,0.00458728
2021-07-06,-0.00677265
2021-07-07,-0.00095497
2021-07-08,-0.00911655
2021-07-09,0.01236967
2021-07-12,0.0028729
2021-07-13,-0.00538099
2021-07-14,-0.00202333
2021-07-15,-0.00583226
2021-07-16,-0.00955132
2021-07-19,-0.01745699
2021-07-20,0.01413395
2021-07-21,0.01235001
2021-07-22,-0.00152534
2021-07-23,0.0064925
2021-07-26,0.00265201
2021-07-27,-0.00339482
2021-07-28,0.00375992
2021-07-29,0.0071333
2021-07-30,-0.00581342
2021-08-02,0.0003525
2021-08-03,0.00953088
2021-08-04,-0.00697273
2021-08-05,0.00550015
2021-08-06,0.00159836
2021-08-09,-0.00328773
2021-08-10,0.00243525
2021-08-11,0.00458939
2021-08-12,-0.00102508
2021-08-13,0.0011935
2021-08-16,-0.00064681
2021-08-17,-0.00766787
2021-08-18,-0.01119393
2021-08-19,-0.00247651
2021-08-20,0.00774273
2021-08-23,0.01311849
2021-08-24,0.00250302
2021-08-25,0.00402083
2021-08-26,-0.00560714
2021-08-27,0.01059887
2021-08-30,0.00120684
2021-08-31,-0.00311863
2021-09-01,0.00024226
2021-09-02,0.00927713
2021-09-03,-0.00064278
2021-09-07,-0.00677813
2021-09-08,-0.00158876
2021-09-09,-0.00142048
2021-09-10,-0.00398629
2021-09-13,0.00721344
2021-09-14,-0.00615175
2021-09-15,0.0109845
2021-09-16,-0.00457224
2021-09-17,-0.0124767
2021-09-20,-0.01740666
2021-09-21,0.00018278
2021-09-22,0.01147048
2021-09-23,0.01286645
2021-09-24,-0.00100611
2021-09-27,0.00264073
2021-09-28,-0.01739912
2021-09-29,0.00055846
2021-09-30,-0.01042747
2021-10-01,0.01193953
2021-10-04,-0.00408107
2021-10-05,0.00894168
2021-10-06,0.00287928
2021-10-07,0.00641913
2021-10-08,-0.00049824
2021-10-11,-0.00709562
2021-10-12,0.00029429
2021-10-13,0.00625607
2021-10-14,0.01648407
2021-10-15,0.00461356
2021-10-18,0.00150633
2021-10-19,0.00984322
2021-10-20,0.00612998
2021-10-21,-0.00021697
2021-10-22,0.00089375
2021-10-25,0.00427
2021-10-26,0.00196191
2021-10-27,-0.01080554
2021-10-28,0.0092344
2021-10-29,-0.00154895
2021-11-01,0.00638735
2021-11-02,0.00197982
2021-11-03,0.00385539
2021-11-04,0.00796936
2021-11-05,0.00622264
2021-11-08,0.00438316
2021-11-09,0.00113935
2021-11-10,-0.01267093
2021-11-11,0.00248066
2021-11-12,0.00426586
2021-11-15,0.00286902
2021-11-16,0.0027955
2021-11-17,-0.00506823
2021-11-18,0.00307483
2021-11-19,-0.00637909
2021-11-22,-0.00065136
2021-11-23,0.00523817
2021-11-24,0.00438453
2021-11-26,-0.02479454
2021-11-29,0.01488288
2021-11-30,-0.02183003
2021-12-01,-0.00809304
2021-12-02,0.01576165
2021-12-03,-0.0056703
2021-12-06,0.01102208
2021-12-07,0.02239488
2021-12-08,0.00116712
2021-12-09,-0.00804974
2021-12-10,0.00617925
2021-12-13,-0.0107344
2021-12-14,-0.00757479
2021-12-15,0.01762383
2021-12-16,-0.00961282
