ret,vol
0.12021506694160802,0.13069504467391785
0.12312486989340145,0.130823779034601
0.12603467284519487,0.13116897217936196
0.1289444757969883,0.13170681623486954
0.13185427874878172,0.13241003992523834
0.13476408170057516,0.13327507141675204
0.13767388465236857,0.13421173003803422
0.140583687604162,0.13520622566956947
0.14349349055595545,0.13624158176568726
0.14640329350774886,0.1373129358809475
0.1493130964595423,0.1384194521336525
0.1522228994113357,0.1395602942302504
0.15513270236312915,0.1407346272736055
0.1580425053149226,0.1419416200865825
0.160952308266716,0.1431804468267221
0.16386211121850944,0.14445028816810368
0.16677191417030285,0.14575033379693716
0.1696817171220963,0.14707978257440055
0.17259152007388973,0.1484378448865098
0.17550132302568314,0.14982374175448823
0.17841112597747658,0.15123670867684816
0.18132092892927,0.15267583423210257
0.18423073188106343,0.15414115556976982
0.18714053483285686,0.1556530703959902
0.19005033778465028,0.15722762004628482
0.1929601407364437,0.15886937666419018
0.19586994368823712,0.1605913560326903
0.19877974664003056,0.16286730228570365
0.201689549591824,0.1654368214469083
0.2045993525436174,0.16814237937530221
0.20750915549541085,0.17097862276589496
0.21041895844720426,0.17397197106628884
0.2133287613989977,0.17720251912216436
0.21623856435079114,0.1805840080337031
0.21914836730258455,0.1841081205953526
0.222058170254378,0.1877668264721356
0.2249679732061714,0.19165396964723969
0.22787777615796484,0.19582138136721125
0.23078757910975828,0.20039369429443718
0.2336973820615517,0.2058802151900623
